id,title,year_id,db_id,cve_id,score3,metrics,vendor,product,timeline,ics_title,attention,sectors,areas,hq,date_reported,date_published
0,Adobe Acrobat Pro DC Preflight setDefaultLibrary Use-After-Free Remote Code Execution Vulnerability,ZDI-19-001,ZDI-CAN-6656,CVE-2018-16011,8.2, (AV:L/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H),Adobe,Reader,"2018-07-09 - Vulnerability reported to vendor, 2019-01-04 - Coordinated public release of advisory",,,,,,7/9/2018,1/4/2019
1,Adobe Reader DC JavaScript Read-Only Variables Arbitrary Overwrite Restrictions Bypass Vulnerability ,ZDI-19-002,ZDI-CAN-7229,CVE-2018-19725,7.7, (AV:L/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H),Adobe,Reader,"2018-09-10 - Vulnerability reported to vendor, 2019-01-04 - Coordinated public release of advisory",,,,,,9/10/2018,1/4/2019
2,Hetronic Nova-M Replay Attack Vulnerability,ZDI-19-003,ZDI-CAN-6182,CVE-2018-19023,8.3, (AV:A/AC:L/Au:N/C:C/I:C/A:C),Hetronic,Nova-M,"2018-05-09 - Vulnerability reported to vendor, 2019-01-04 - Coordinated public release of advisory, 2019-01-04 - Advisory Updated, ",ICS Advisory (ICSA-19-003-03), Low skill level to exploit, Multiple, Worldwide, United States,5/9/2018,1/4/2019
3,Schneider Electric ZelioSoft2 ZM2 File Parsing Use-After-Free Remote Code Execution Vulnerability,ZDI-19-004,ZDI-CAN-7100,CVE-2018-7817,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Schneider Electric,Zelio Soft 2,"2018-08-12 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-01), Low skill level to exploit, Critical Manufacturing, Worldwide, France,8/12/2018,1/9/2019
4,Schneider Electric ZelioSoft2 ZM2 File Parsing Use-After-Free Remote Code Execution Vulnerability,ZDI-19-005,ZDI-CAN-7099,CVE-2018-7817,7.8, (AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H),Schneider Electric,Zelio Soft 2,"2018-08-12 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",ICS Advisory (ICSA-19-008-01), Low skill level to exploit, Critical Manufacturing, Worldwide, France,8/12/2018,1/9/2019
5,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-006,ZDI-CAN-7271, CVE-2019-0580,7, (AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-24 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/24/2018,1/9/2019
6,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-007,ZDI-CAN-7295,CVE-2019-0581,7, (AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-25 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/25/2018,1/9/2019
7,Microsoft Windows JET Database Engine Uninitialized Pointer Remote Code Execution Vulnerability,ZDI-19-008,ZDI-CAN-7267,CVE-2019-0582,7, (AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-24 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/24/2018,1/9/2019
8,Microsoft Windows JET Database Engine Integer Underflow Remote Code Execution Vulnerability,ZDI-19-009,ZDI-CAN-7293,CVE-2019-0583,7, (AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-25 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/25/2018,1/9/2019
9,Microsoft Windows JET Database Engine Out-Of-Bounds Write Remote Code Execution Vulnerability,ZDI-19-010,ZDI-CAN-7268,CVE-2019-0584,7, (AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H),Microsoft,Windows,"2018-09-24 - Vulnerability reported to vendor, 2019-01-09 - Coordinated public release of advisory",,,,,,9/24/2018,1/9/2019
