attack_id,name,killchain
T1156,.bash_profile and .bashrc,Persistence
T1134,Access Token Manipulation,"Defense Evasion, Privilege Escalation"
T1015,Accessibility Features,"Persistence, Privilege Escalation"
T1531,Account Access Removal,Discovery
T1087,Account Discovery,"Credential Access, Persistence"
T1098,Account Manipulation,"Persistence, Privilege Escalation"
T1182,AppCert DLLs,"Persistence, Privilege Escalation"
T1103,AppInit DLLs,"Execution, Lateral Movement"
T1155,AppleScript,Lateral Movement
T1527,Application Access Token,"Persistence, Privilege Escalation"
T1017,Application Deployment Software,Discovery
T1138,Application Shimming,Collection
T1010,Application Window Discovery,Persistence
T1123,Audio Capture,Collection
T1131,Authentication Package,Exfiltration
T1119,Automated Collection,Credential Access
T1020,Automated Exfiltration,Defense Evasion
T1139,Bash History,"Defense Evasion, Persistence"
T1009,Binary Padding,Persistence
T1197,BITS Jobs,Discovery
T1067,Bootkit,Persistence
T1217,Browser Bookmark Discovery,Credential Access
T1176,Browser Extensions,"Defense Evasion, Privilege Escalation"
T1110,Brute Force,Persistence
T1088,Bypass User Account Control,Defense Evasion
T1042,Change Default File Association,Collection
T1146,Clear Command History,"Defense Evasion, Execution"
T1115,Clipboard Data,Defense Evasion
T1522,Cloud Instance Metadata API,Execution
T1538,Cloud Service Dashboard,Command And Control
T1526,Cloud Service Discovery,Command And Control
T1191,CMSTP,Defense Evasion
T1116,Code Signing,"Defense Evasion, Execution"
T1059,Command-Line Interface,"Defense Evasion, Persistence"
T1043,Commonly Used Port,"Defense Evasion, Persistence"
T1092,Communication Through Removable Media,Command And Control
T1500,Compile After Delivery,"Defense Evasion, Execution"
T1223,Compiled HTML File,Persistence
T1109,Component Firmware,Credential Access
T1175,Component Object Model and Distributed COM,Credential Access
T1122,Component Object Model Hijacking,Credential Access
T1090,Connection Proxy,Command And Control
T1196,Control Panel Items,Command And Control
T1136,Create Account,Exfiltration
T1003,Credential Dumping,Impact
T1503,Credentials from Web Browsers,Command And Control
T1081,Credentials in Files,Exfiltration
T1214,Credentials in Registry,Impact
T1094,Custom Command and Control Protocol,Collection
